what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415769721884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769727828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769730932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769736628
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769749951
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.moveResources",1415769749966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.move",1415769749966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769756597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769765396
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415769766457
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415769766519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769766597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769772371
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415769775600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769777160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769778486
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1415769778502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415769778502
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415769779079
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1415769779282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769779531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769783275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769786848
error,log,,,"Internal Error",1415769787924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769790436
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1415769790451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415769790451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769793556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769831258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1415769835298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769838995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769937665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769959515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769962414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769962438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769983248
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1415769983264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415769983264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769986165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415769987944
